gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3073530993,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C7-9B9D-5049-E053-0514A8C026F5,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.40638,46.23495,5000,,,,,,2015-01-01T00:00:00,1,1,2015,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"PARETO, ARVAM (Non renseigné)",,,2021-04-15T16:05:43.590Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073488501,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C5-7C37-5047-E053-0514A8C03800,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.17037,55.27931,5000,,,,,,2017-01-01T00:00:00,1,1,2017,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"|RNMR, IRD, université de La Réunion (Non renseigné)",,,2021-04-15T16:05:40.821Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073469238,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C4-F105-34AB-E053-3014A8C07257,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.7726,45.29724,5000,,,,,,2015-01-01T00:00:00,1,1,2015,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"PARETO, ARVAM (Non renseigné)",,,2021-04-15T16:05:40.486Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073447864,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C6-45C8-34AB-E053-3014A8C07257,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.69095,44.97761,5000,,,,,,2014-01-01T00:00:00,1,1,2014,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"PARETO, ARVAM (Non renseigné)",,,2021-04-15T16:05:41.438Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073434242,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C4-EA4C-5047-E053-0514A8C03800,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.34176,55.45952,5000,,,,,,2013-01-01T00:00:00,1,1,2013,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,Non renseigné (Non renseigné),,,2021-04-15T16:05:39.712Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073414382,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C4-0938-5047-E053-0514A8C03800,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.20515,55.27898,5000,,,,,,2017-01-01T00:00:00,1,1,2017,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"Nicet J.B., Pinault M.,Wickel J., Bigot L.,C. Bourmaud,Mulochau T., Zubia M., Conand C., Poupin,M. Schleyer,Benon P., G. Malfait (Non renseigné)",,,2021-04-15T16:05:39.165Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073397096,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C2-EECD-34AB-E053-3014A8C07257,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,YT,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-12.67551,45.05338,5000,,,,,,2005-01-01T00:00:00,1,1,2005,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,GIS Lag MAY (Non renseigné),,,2021-04-15T16:05:37.999Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073365757,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C2-1134-5040-E053-0514A8C0275F,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.36329,55.53089,5000,,,,,,2013-01-01T00:00:00,1,1,2013,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,Non renseigné (Non renseigné),,,2021-04-15T16:05:36.693Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073359827,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C2-B4D7-5045-E053-0514A8C038C7,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.26822,55.32625,5000,,,,,,2017-01-01T00:00:00,1,1,2017,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"|RNMR, IRD, université de La Réunion (Non renseigné)",,,2021-04-15T16:05:38.539Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
3073357106,f946666e-67dc-4848-9fa8-2162f3559e33,BDBB97C1-BE6C-5049-E053-0514A8C026F5,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,,SPECIES,"Acropora hyacinthus (Dana, 1846)","Acropora hyacinthus (Dana, 1846)",,RE,,,PRESENT,,1928bdf0-f5d2-11dc-8c12-b8a03c50a862,-21.26861,55.33175,5000,,,,,,2017-01-01T00:00:00,1,1,2017,5184675,5184675,HUMAN_OBSERVATION,UMS PatriNat,,,,Non renseigné (Non renseigné),,CC_BY_NC_4_0,,"|RNMR, IRD, université de La Réunion (Non renseigné)",,,2021-04-15T16:05:37.030Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_MISMATCH;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
