"Clade","Type","Gene","Isolate","Redundancy","Potential_Pseudogene_Ref","Species","Methodology","Genbank","Genbank_link","Host_Phylum","Host_Class","Host_Order","Host_Family","Host_Genus","Host_Species","Host_Sci_Name","AphiaID","Environment","Ocean","Country","StateRegion","SubRegion","Locale","Latitude","Longitude","Coordinate_Precision","Min_Depth","Max_Depth","Start_Year_Collect","End_Year_Collect","Ref","Reference","Ref_link"
"A","A15","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792884","http://www.ncbi.nlm.nih.gov/nuccore/EU792884","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Western Indian","Zanzibar","Changuu",-6.070491,39.100244,1000,2,6,2007,2007,"LaJeunesse_2010_J_Biogeography_37_785","LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract"
"A","A15","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792884","http://www.ncbi.nlm.nih.gov/nuccore/EU792884","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Western Indian","Zanzibar","Banda Kuu",-5.425601,39.175998,2000,3,12,2007,2007,"LaJeunesse_2010_J_Biogeography_37_785","LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract"
"A","A15a","ITS2","N_A","N_A","N_A","N_A","DGGE","EU792885","http://www.ncbi.nlm.nih.gov/nuccore/EU792885","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Eastern Indian","N_A","N_A",-7.012318,39.726367,250000,3,6,"N_A","N_A","LaJeunesse_2009_Biol_Invasions_11_995","LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.","http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse"
"A","A15a","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792885","http://www.ncbi.nlm.nih.gov/nuccore/EU792885","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Eastern Indian","N_A","N_A",-7.012318,39.726367,250000,3,6,"N_A","N_A","LaJeunesse_2009_Biol_Invasions_11_995","LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.","http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse"
"A","A15a","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792885","http://www.ncbi.nlm.nih.gov/nuccore/EU792885","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Eastern Indian","N_A","N_A",-7.012318,39.726367,250000,3,6,"N_A","N_A","LaJeunesse_2009_Biol_Invasions_11_995","LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.","http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse"
"A","A15a","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792885","http://www.ncbi.nlm.nih.gov/nuccore/EU792885","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Western Indian","Zanzibar","Changuu",-6.070491,39.100244,1000,2,6,2007,2007,"LaJeunesse_2010_J_Biogeography_37_785","LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract"
"A","A15b","ITS2","N_A","N_A","N_A","N_A","DGGE","EU792886","http://www.ncbi.nlm.nih.gov/nuccore/EU792886","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Eastern Indian","N_A","N_A",-7.012318,39.726367,250000,3,6,"N_A","N_A","LaJeunesse_2009_Biol_Invasions_11_995","LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.","http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse"
"A","A15b","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792886","http://www.ncbi.nlm.nih.gov/nuccore/EU792886","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Eastern Indian","N_A","N_A",-7.012318,39.726367,250000,3,6,"N_A","N_A","LaJeunesse_2009_Biol_Invasions_11_995","LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.","http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse"
"A","A15b","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792886","http://www.ncbi.nlm.nih.gov/nuccore/EU792886","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Eastern Indian","N_A","N_A",-7.012318,39.726367,250000,3,6,"N_A","N_A","LaJeunesse_2009_Biol_Invasions_11_995","LaJeunesse TC, Loh WKW, Trench RK (2009) Do introduced endosymbiotic dinoflagellates take to new hosts? Biological Invasions 11, 995-1003.","http://www.springerlink.com.eres.library.manoa.hawaii.edu/content/1387-3547/?k=lajeunesse"
"A","A15b","ITS2","N_A","N_A","N_A","N_A","DGGE","same_as_EU792886","http://www.ncbi.nlm.nih.gov/nuccore/EU792886","Cnidaria","Hydrozoa","Anthoathecata","Milleporidae","Millepora","sp.","Millepora sp.",153786,"in hospite","Indian","Tanzania","Western Indian","Zanzibar","Changuu",-6.070491,39.100244,1000,2,6,2007,2007,"LaJeunesse_2010_J_Biogeography_37_785","LaJeunesse TC, Pettay DT, Sampayo EM, Phongsuwan N, Brown B, Obura DO, Hoegh-Guldberg O, Fitt WK (2010) Long-standing environmental conditions, geographic isolation and host-symbiont specificity influence the relative ecological dominance and genetic diversification of coral endosymbionts in the genus Symbiodinium. Journal of Biogeography 37, 785-800.","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2010.02273.x/abstract"
